generation,time_seconds,channel_0,channel_1
2,0.174,0.8089693188667297,0.5876508951187134
2,0.175,0.9509696364402771,0.30890393257141113
2,0.176,0.9998824596405029,-8.07046890258789e-05
2,0.177,0.9509198069572449,-0.30905741453170776
2,0.178,0.8088744878768921,-0.5877814292907715
2,0.179,0.5876508951187134,-0.8089693188667297
2,0.18,0.30890393257141113,-0.9509696364402771
2,0.181,-8.07046890258789e-05,-0.9998824596405029
2,0.182,-0.30905741453170776,-0.9509198069572449
2,0.183,-0.5877814292907715,-0.8088744878768921
2,0.184,-0.8089693188667297,-0.5876508951187134
2,0.185,-0.9509696364402771,-0.30890393257141113
2,0.186,-0.9998824596405029,8.07046890258789e-05
2,0.187,-0.9509198069572449,0.30905741453170776
2,0.188,-0.8088744878768921,0.5877814292907715
2,0.189,-0.5876508951187134,0.8089693188667297
2,0.19,-0.30890393257141113,0.9509696364402771
2,0.191,8.07046890258789e-05,0.9998824596405029
2,0.192,0.30905741453170776,0.9509198069572449
2,0.193,0.5877814292907715,0.8088744878768921
2,0.194,0.8089693188667297,0.5876508951187134
2,0.195,0.9509696364402771,0.30890393257141113
2,0.196,0.9998824596405029,-8.07046890258789e-05
2,0.197,0.9509198069572449,-0.30905741453170776
2,0.198,0.8088744878768921,-0.5877814292907715
2,0.199,0.5876508951187134,-0.8089693188667297
2,0.2,0.30890393257141113,-0.9509696364402771
2,0.201,-8.07046890258789e-05,-0.9998824596405029
2,0.202,-0.30905741453170776,-0.9509198069572449
2,0.203,-0.5877814292907715,-0.8088744878768921
2,0.204,-0.8089693188667297,-0.5876508951187134
2,0.205,-0.9509696364402771,-0.30890393257141113
2,0.206,-0.9998824596405029,8.07046890258789e-05
2,0.207,-0.9509198069572449,0.30905741453170776
2,0.208,-0.8088744878768921,0.5877814292907715
2,0.209,-0.5876508951187134,0.8089693188667297
2,0.21,-0.30890393257141113,0.9509696364402771
2,0.211,0.30905741453170776,0.9509198069572449
2,0.212,0.30905741453170776,0.9509198069572449
2,0.213,0.5877814292907715,0.8088744878768921
2,0.214,0.8089693188667297,0.5876508951187134
2,0.215,0.9998824596405029,-8.07046890258789e-05
2,0.216,0.9998824596405029,-8.07046890258789e-05
2,0.217,0.9509198069572449,-0.30905741453170776
2,0.218,0.8088744878768921,-0.5877814292907715
2,0.219,0.5876508951187134,-0.8089693188667297
2,0.22,0.30890393257141113,-0.9509696364402771
2,0.221,-8.07046890258789e-05,-0.9998824596405029
2,0.222,-0.30905741453170776,-0.9509198069572449
2,0.223,-0.5877814292907715,-0.8088744878768921
2,0.224,-0.8089693188667297,-0.5876508951187134
2,0.225,-0.9509696364402771,-0.30890393257141113
2,0.226,-0.9998824596405029,8.07046890258789e-05
2,0.227,-0.9509198069572449,0.30905741453170776
2,0.228,-0.8088744878768921,0.5877814292907715
2,0.229,-0.5876508951187134,0.8089693188667297
2,0.23,-0.30890393257141113,0.9509696364402771
2,0.231,8.07046890258789e-05,0.9998824596405029
2,0.232,0.30905741453170776,0.9509198069572449
2,0.233,0.5877814292907715,0.8088744878768921
2,0.234,0.8089693188667297,0.5876508951187134
2,0.235,0.9509696364402771,0.30890393257141113
2,0.236,0.9998824596405029,-8.07046890258789e-05
2,0.237,0.9509198069572449,-0.30905741453170776
2,0.238,0.8088744878768921,-0.5877814292907715
2,0.239,0.5876508951187134,-0.8089693188667297
2,0.24,0.30890393257141113,-0.9509696364402771
2,0.241,-8.07046890258789e-05,-0.9998824596405029
2,0.242,-0.30905741453170776,-0.9509198069572449
2,0.243,-0.5877814292907715,-0.8088744878768921
2,0.244,-0.8089693188667297,-0.5876508951187134
2,0.245,-0.9509696364402771,-0.30890393257141113
2,0.246,-0.9998824596405029,8.07046890258789e-05
2,0.247,-0.9509198069572449,0.30905741453170776
2,0.248,-0.8088744878768921,0.5877814292907715
2,0.249,-0.5876508951187134,0.8089693188667297
2,0.25,-0.30890393257141113,0.9509696364402771
2,0.251,8.07046890258789e-05,0.9998824596405029
2,0.252,0.30905741453170776,0.9509198069572449
2,0.253,0.5877814292907715,0.8088744878768921
2,0.254,0.8089693188667297,0.5876508951187134
2,0.255,0.9509696364402771,0.30890393257141113
2,0.256,0.9998824596405029,-8.07046890258789e-05
2,0.257,0.9509198069572449,-0.30905741453170776
2,0.258,0.8088744878768921,-0.5877814292907715
2,0.259,0.5876508951187134,-0.8089693188667297
2,0.26,0.30890393257141113,-0.9509696364402771
